index;filename;duration;tracks;sustain
141;"./BACH JOHANN SEBASTIAN/Chaconne BWV1004.mid";14;2;8664
142;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in D Minor, WTC I, BWV 851.mid";4;2;4036
143;"./BACH JOHANN SEBASTIAN/English Suite no. 3 in G Minor, Prelude.mid";3;2;246
144;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C-Sharp Major, WTC I, BWV 848.mid";3;2;135
145;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in G-sharp Minor, WTC I, BWV 863.mid";5;2;7148
146;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C-sharp Major, WTC I.mid";3;2;172
147;"./BACH JOHANN SEBASTIAN/Prelude from the English Suite No. 6.mid";8;2;1827
148;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in F Minor, WTC I.mid";6;2;443
149;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in A Major, WTC II, BWV 888.mid";3;2;1124
150;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C-sharp Minor, WTC II.mid";6;2;501
151;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in B Major, WTC I, BWV 868.mid";3;2;1753
152;"./BACH JOHANN SEBASTIAN/Duet in E Minor, BWV 802.mid";2;2;29
153;"./BACH JOHANN SEBASTIAN/English Suite in A Minor, BWV 807.mid";14;2;4715
154;"./BACH JOHANN SEBASTIAN/Toccata in E Minor, BWV 914.mid";6;2;1508
155;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in C sharp major, WTC I, BWV 848.mid";3;2;758
156;"./BACH JOHANN SEBASTIAN/Prelude and Fugue in F-sharp Minor, WTC II , BWV 883.mid";6;2;2873
157;"./HALVORSEN JOHAN/Handel Passacaglia.mid";2;2;146
158;"./HAYDN FRANZ JOSEPH/Sonata in E-flat major, Hob. XVI52, I. Allegro.mid";6;2;3250
159;"./HAYDN FRANZ JOSEPH/Sonata in E flat Major, Hob. XVI 49, I. Allegro.mid";5;2;1846
160;"./HAYDN FRANZ JOSEPH/Sonata in E Major, Hob. XVI31, First Movement.mid";3;2;2077
161;"./HAYDN FRANZ JOSEPH/Sonata in A-flat Major, Hob. XVI 46, I. Allegro moderato.mid";6;2;5933
162;"./HAYDN FRANZ JOSEPH/Sonata in C Major, Hob. XVI 50, I. Allegro.mid";5;2;3178
163;"./HAYDN FRANZ JOSEPH/Son. Hob. XVI39.mid";14;2;15204
164;"./HAYDN FRANZ JOSEPH/Sonata in D Major, Hob. XVI24.mid";5;2;4286
165;"./HAYDN FRANZ JOSEPH/Sonata in C Major, Hob. XVI50, 1st mov..mid";5;2;3379
166;"./HAYDN FRANZ JOSEPH/Sonata in E-flat Major, Hob. XVI52, 1st mov..mid";6;2;2528
167;"./HAYDN FRANZ JOSEPH/Piano Sonata No. 38 in F major, Hob. XVI23 (1773).mid";18;2;2693
168;"./HAYDN FRANZ JOSEPH/Sonata in E-flat Major, Hob. XVI 52, I. Allegro.mid";6;2;5789
169;"./HAYDN FRANZ JOSEPH/Sonata in C Minor, Hob. XVI20, 1st mov..mid";5;2;1145
170;"./HAYDN FRANZ JOSEPH/Sonata in A-Flat Major, Hob. XVI46, I. Allegro moderato.mid";6;2;2715
171;"./HAYDN FRANZ JOSEPH/Sonata in E-flat Major, Hob. XVI52, First Movement.mid";6;2;3296
172;"./HAYDN FRANZ JOSEPH/Piano Sonata in C major, Hob. XVI50 (Complete).mid";13;2;5260
173;"./HAYDN FRANZ JOSEPH/Sonata in B-flat Major, Hob.XVI41.mid";2;2;736
174;"./HAYDN FRANZ JOSEPH/Sonata in C Major, Hob. XVI48 (Complete).mid";12;2;8289
175;"./HAYDN FRANZ JOSEPH/Sonata in A-flat Major, No. 31 Hob. XVI46, 1st mov.mid";5;2;802
176;"./HAYDN FRANZ JOSEPH/Son. Hob. XVI32.mid";8;2;4940
177;"./HAYDN FRANZ JOSEPH/Sonata in C Major, Hob. XVI50.mid";2;2;954
178;"./HAYDN FRANZ JOSEPH/Sonata in F Major, Hob. XVI23.mid";16;2;5037
179;"./HAYDN FRANZ JOSEPH/Sonata in C Major, Hob. XVI50, First Movement.mid";5;2;2642
180;"./HAYDN FRANZ JOSEPH/Sonata in C Minor, First Movement.mid";5;2;5264
181;"./HAYDN FRANZ JOSEPH/Sonata in G Major, Hob. XVI6, First Movement.mid";3;2;1803
182;"./HAYDN FRANZ JOSEPH/Son. Hob. XVI52.mid";17;2;10856
183;"./HAYDN FRANZ JOSEPH/Sonata E-Flat Major, Hob. XVI49, First Movement.mid";5;2;3763
184;"./HAYDN FRANZ JOSEPH/Sonata in C major, Hob. XVI 50.mid";13;2;5739
185;"./HAYDN FRANZ JOSEPH/Sonata in in F Major, Hob. XVI 23, I. Allegro moderato.mid";3;2;381
186;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K. 576, II - Adagio.mid";5;2;2687
187;"./MOZART WOLFGANG AMADEUS/Sonata in B-flat Major, K. 333, I. Allegro.mid";5;2;2211
188;"./MOZART WOLFGANG AMADEUS/Fantasy in C Min.mid";12;2;11926
189;"./MOZART WOLFGANG AMADEUS/Sonata K. 457.mid";16;2;17572
190;"./MOZART WOLFGANG AMADEUS/Sonata in B-flat Major, K. 281, First Movement.mid";3;2;1993
191;"./MOZART WOLFGANG AMADEUS/Piano Sonata No. 11 in A major, KV 331_1_Andante grazioso (con variazioni).mid";7;3;1629
192;"./MOZART WOLFGANG AMADEUS/Sonata in D Major K576.mid";13;2;9220
193;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K.311.mid";13;2;7508
194;"./MOZART WOLFGANG AMADEUS/Sonata in B-flat Major, K. 333, 1st mov..mid";5;2;5148
195;"./MOZART WOLFGANG AMADEUS/Sonata in B-flat Major, K. 570, 1st mov..mid";4;2;4547
196;"./MOZART WOLFGANG AMADEUS/Sonata in F Major, K 332 (Complete).mid";14;2;13394
197;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K. 284, First Movement.mid";3;2;2438
198;"./MOZART WOLFGANG AMADEUS/Piano Sonata No. 11 in A major, KV 331_2_Minuetto.mid";4;3;1001
199;"./MOZART WOLFGANG AMADEUS/Rondo in A Minor,  K. 511.mid";8;2;3447
200;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K. 576, I - Allegro.mid";4;2;1837
201;"./MOZART WOLFGANG AMADEUS/Sonata in C Major, K279.mid";10;2;8368
202;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K 576, First Movement.mid";4;2;2710
203;"./MOZART WOLFGANG AMADEUS/Sonata in C Minor, K. 457, 1st mov..mid";4;2;2391
204;"./MOZART WOLFGANG AMADEUS/Sonata in F Major, K533.mid";19;2;10231
205;"./MOZART WOLFGANG AMADEUS/Sonata in F.mid";18;2;18039
206;"./MOZART WOLFGANG AMADEUS/Piano Sonata No. 11 in A major, KV 331_3_Alla turca-Allegretto.mid";4;3;682
207;"./MOZART WOLFGANG AMADEUS/Sonata in C Minor, K. 457.mid";18;2;15534
208;"./MOZART WOLFGANG AMADEUS/Twelve Variations, K179 (189a).mid";11;2;12105
209;"./MOZART WOLFGANG AMADEUS/Sonata in F Major, K. 280, 1st mov..mid";3;2;1572
210;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K 284, First Movement.mid";4;2;2898
211;"./MOZART WOLFGANG AMADEUS/Sonata in C Major, K 330, I. Allegro moderato.mid";4;2;952
212;"./MOZART WOLFGANG AMADEUS/Sonata in D-Major, K. 311, First Movement.mid";3;2;2511
213;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K. 576 (Complete).mid";13;2;5450
214;"./MOZART WOLFGANG AMADEUS/Sonata in F Major, K280.mid";2;2;1168
215;"./MOZART WOLFGANG AMADEUS/Sonata in D Major, K. 311.mid";15;2;11579
216;"./MOZART WOLFGANG AMADEUS/Sonata in F K332.mid";15;2;13698
217;"./MOZART WOLFGANG AMADEUS/Sonata K. 457 in C minor, I. Allegro molto.mid";4;2;1143
218;"./MOZART WOLFGANG AMADEUS/Sonata in C Minor K457, First Movement.mid";4;2;993
219;"./MOZART WOLFGANG AMADEUS/Sonata in B-flat Major, K 333, First Movement.mid";5;2;2514
